slot,parent_slot,cl_client,validator_id,validator,builder,relay,date,slot_in_epoch
[6785286](https://beaconcha.in/slot/6785286),0,Unknown,0,,,,2023-07-01 21:37:35,6
[6785333](https://beaconcha.in/slot/6785333),0,Prysm,405926,,,,2023-07-01 21:46:59,21
[6785423](https://beaconcha.in/slot/6785423),0,Prysm,425746,,,,2023-07-01 22:04:59,15
[6785507](https://beaconcha.in/slot/6785507),0,Lighthouse,201772,,,,2023-07-01 22:21:47,3
[6785629](https://beaconcha.in/slot/6785629),0,Prysm,119151,,,,2023-07-01 22:46:11,29
[6785632](https://beaconcha.in/slot/6785632),0,Unknown,0,,,,2023-07-01 22:46:47,0
[6785724](https://beaconcha.in/slot/6785724),0,Lighthouse,407164,,,,2023-07-01 23:05:11,28
[6785727](https://beaconcha.in/slot/6785727),0,Unknown,0,,,,2023-07-01 23:05:47,31
[6785863](https://beaconcha.in/slot/6785863),0,Unknown,0,,,,2023-07-01 23:32:59,7
[6785880](https://beaconcha.in/slot/6785880),0,Prysm,574851,,,,2023-07-01 23:36:23,24
[6786176](https://beaconcha.in/slot/6786176),0,Unknown,0,,,,2023-07-02 00:35:35,0
[6786245](https://beaconcha.in/slot/6786245),0,Unknown,0,,,,2023-07-02 00:49:23,5
[6786554](https://beaconcha.in/slot/6786554),0,Unknown,0,,,,2023-07-02 01:51:11,26
[6786664](https://beaconcha.in/slot/6786664),0,Unknown,0,,,,2023-07-02 02:13:11,8
[6786790](https://beaconcha.in/slot/6786790),0,Unknown,0,,,,2023-07-02 02:38:23,6
[6786930](https://beaconcha.in/slot/6786930),0,Unknown,0,,,,2023-07-02 03:06:23,18
[6786941](https://beaconcha.in/slot/6786941),0,Unknown,0,,,,2023-07-02 03:08:35,29
[6787170](https://beaconcha.in/slot/6787170),0,Unknown,0,,,,2023-07-02 03:54:23,2
[6787216](https://beaconcha.in/slot/6787216),0,Unknown,0,,,,2023-07-02 04:03:35,16
