slot,validator_id,validator,builder,relay,cl_client,date,slot_in_epoch
[6440788](https://beaconcha.in/slot/6440788),16970,coinbase,rsync-builder.xyz,bloxroute (max profit),Lighthouse,2023-05-15 01:17:59,20
[6441935](https://beaconcha.in/slot/6441935),322784,0x8c968279b325124d9a8b71e8c4ea0bfc735ee3b5bc6343a2d1b876d801213110e97b563d9eb3b3f9d78240ad4b0e96f5,,,Prysm,2023-05-15 05:07:23,15
[6442118](https://beaconcha.in/slot/6442118),60154,0xad3c06765c8fa8d0659961b4833a9ce1c8102c31d8a57bc0cdcb53a4fd17633b68156b502e8a091b396ad3d300a87e95,,,Prysm,2023-05-15 05:43:59,6
[6442593](https://beaconcha.in/slot/6442593),396328,coinbase,,,Prysm,2023-05-15 07:18:59,1
[6443863](https://beaconcha.in/slot/6443863),270844,lido,rsync-builder.xyz,blocknative,Lighthouse,2023-05-15 11:32:59,23
[6443863](https://beaconcha.in/slot/6443863),270844,lido,rsync-builder.xyz,bloxroute (max profit),Lighthouse,2023-05-15 11:32:59,23
[6446949](https://beaconcha.in/slot/6446949),80161,stakefish,rsync-builder.xyz,bloxroute (max profit),Lighthouse,2023-05-15 21:50:11,5
[6447170](https://beaconcha.in/slot/6447170),27319,0x97a8e8723ea47b51b9418075b0eace82fee21ed523b9cd7a395a8e42fb001ea2cbb4380b0396563d7adc711aec744ffd,,,Prysm,2023-05-15 22:34:23,2
[6448650](https://beaconcha.in/slot/6448650),486310,0xb5e4062e6ab6491ff4f0e050d2f0ade28f36dd47bc8cda583bb3b794fb51bea244b06411536260a5e05b01fd77b51512,rsync-builder.xyz,bloxroute (regulated),Lighthouse,2023-05-16 03:30:23,10
[6448802](https://beaconcha.in/slot/6448802),107833,coinbase,rsync-builder.xyz,bloxroute (max profit),Lighthouse,2023-05-16 04:00:47,2
[6449121](https://beaconcha.in/slot/6449121),627647,lido,Blocknative,blocknative,Prysm,2023-05-16 05:04:35,1
[6449697](https://beaconcha.in/slot/6449697),371259,0x970eee48aa193c3bb052c4ff033e56f7fb5a5042b09a9d3c2ff333fddd8f4038f7e807dbe4754c86353af50d9c4098e7,,,Prysm,2023-05-16 06:59:47,1
[6450561](https://beaconcha.in/slot/6450561),271661,kraken,,,Prysm,2023-05-16 09:52:35,1
[6450602](https://beaconcha.in/slot/6450602),586364,figment,,,Lighthouse,2023-05-16 10:00:47,10
[6451297](https://beaconcha.in/slot/6451297),160509,stakefish,,,Lighthouse,2023-05-16 12:19:47,1
[6451329](https://beaconcha.in/slot/6451329),16209,coinbase,,,Prysm,2023-05-16 12:26:11,1
[6451713](https://beaconcha.in/slot/6451713),435594,lido,,,Prysm,2023-05-16 13:42:59,1
[6452321](https://beaconcha.in/slot/6452321),272299,binance,,,Lighthouse,2023-05-16 15:44:35,1
[6452481](https://beaconcha.in/slot/6452481),575466,0x9759994f5dd1e8e99bfc77abec92539701fdf0533d91206ebffed8820988a1fe9898339897f02608f9c9fe3e205345b9,,,Lighthouse,2023-05-16 16:16:35,1
[6452705](https://beaconcha.in/slot/6452705),150211,0x8e638b1b36ede9c77617084ab64181ede1d42262d87c296e4773617e20de5b46fc5eb19f27b0bb5f0d7ff6ee23ffe74f,,,Prysm,2023-05-16 17:01:23,1
[6453249](https://beaconcha.in/slot/6453249),396266,staked.us,,,Lighthouse,2023-05-16 18:50:11,1
[6455135](https://beaconcha.in/slot/6455135),261343,0x9171ec9ed177fa403494e7d94e2e8b5daae5c40c0e53668ce16d444d255c4e123cc71f6abfd147a7db3e3dfbd861c32f,rsync-builder.xyz,bloxroute (max profit),Teku,2023-05-17 01:07:23,31
[6456545](https://beaconcha.in/slot/6456545),443894,lido,Blocknative,blocknative,Lighthouse,2023-05-17 05:49:23,1
[6459233](https://beaconcha.in/slot/6459233),470901,lido,Blocknative,blocknative,Lighthouse,2023-05-17 14:46:59,1
[6459265](https://beaconcha.in/slot/6459265),491306,stakefish,,,Lighthouse,2023-05-17 14:53:23,1
[6461293](https://beaconcha.in/slot/6461293),395991,binance,,,Prysm,2023-05-17 21:38:59,13
[6461345](https://beaconcha.in/slot/6461345),79402,binance,,,Lighthouse,2023-05-17 21:49:23,1
[6462145](https://beaconcha.in/slot/6462145),77145,lido,Blocknative,blocknative,Lighthouse,2023-05-18 00:29:23,1
[6462561](https://beaconcha.in/slot/6462561),587926,lido,BloXroute,bloxroute (regulated),Lighthouse,2023-05-18 01:52:35,1
[6463681](https://beaconcha.in/slot/6463681),212571,0xa07f12816096612cf052f164b19c2f83083451a6e4ad02ea1181850d3ceffa3eb9019acd1f712712708a4d4e71139dc4,,,Prysm,2023-05-18 05:36:35,1
[6464356](https://beaconcha.in/slot/6464356),141074,lido,rsync-builder.xyz,bloxroute (regulated),Lighthouse,2023-05-18 07:51:35,4
[6464356](https://beaconcha.in/slot/6464356),141074,lido,rsync-builder.xyz,bloxroute (max profit),Lighthouse,2023-05-18 07:51:35,4
[6464356](https://beaconcha.in/slot/6464356),141074,lido,rsync-builder.xyz,blocknative,Lighthouse,2023-05-18 07:51:35,4
[6464859](https://beaconcha.in/slot/6464859),490525,0x921babc3e94aabebabfafd545021b0342ba74860227150e3f94effc2b9d05eb00eb185ebdf35c9db2d5078d51971c27a,,,Prysm,2023-05-18 09:32:11,27
[6464868](https://beaconcha.in/slot/6464868),255676,0xb20146945eba66f1c7ccf8e1f666554eeab0873f94b5b337b35a41c47baa83734797d314cc8523810abf902a1f63cd0c,,,Prysm,2023-05-18 09:33:59,4
[6465353](https://beaconcha.in/slot/6465353),618946,binance,,,Lighthouse,2023-05-18 11:10:59,9
[6467009](https://beaconcha.in/slot/6467009),363476,lido,rsync-builder.xyz,bloxroute (max profit),Lighthouse,2023-05-18 16:42:11,1
[6468257](https://beaconcha.in/slot/6468257),212060,bitstamp,Blocknative,blocknative,Prysm,2023-05-18 20:51:47,1
[6468769](https://beaconcha.in/slot/6468769),8889,coinbase,,,Lighthouse,2023-05-18 22:34:11,1
